등록일,발행기관,제목,원문링크,구분
2026-08-04,광주광역시,도시철도 2호선 2단계 공사 추진 현황 및 공정률,https://www.gwangju.go.kr/board/1001,보도자료
2026-08-03,광주광역시 도시공간국,첨단3지구 산업용지 2차 분양 공고,https://www.gwangju.go.kr/board/1002,공고
2026-08-06,광주광역시,도시계획위원회 광천동 지구단위계획 재심의 결과,https://www.gwangju.go.kr/board/1003,보도자료
2026-08-05,광주광역시 문화관광국,어등산 관광단지 사업자 재공모 계획 발표,https://www.gwangju.go.kr/board/1004,보도자료
2026-08-05,광주광역시 인사과,2026년 하반기 공무직 채용 공고,https://www.gwangju.go.kr/board/1005,공고
2026-08-02,광주 광산구,수완지구 잔여 필지 공동주택 사업승인 고시,https://gwangsan.go.kr/board/2001,고시
2026-08-01,광주광역시,제23회 광주비엔날레 자원봉사 모집,https://www.gwangju.go.kr/board/1006,보도자료
2026-08-06,국토교통부,광주-강진 고속도로 4공구 착공,https://www.molit.go.kr/board/3001,보도자료
2026-07-11,광주광역시,상무지구 도시재생 뉴딜사업 준공,https://www.gwangju.go.kr/board/1007,보도자료
2026-08-04,대전광역시,대전 유성구 도시개발사업 실시계획 인가,https://daejeon.go.kr/board/4001,보도자료
2026-08-06,광주광역시,도시철도 2호선 2단계 공사 추진 현황 및 공정률,https://www.gwangju.go.kr/board/1001,보도자료
2026-08-07,광주 북구,북구 문화행사 안내 및 시민 백일장 개최,https://bukgu.gwangju.kr/board/5001,보도자료
